,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,DateTime
420,agirish,61.92,63.02,18.301999999999975,87,0,5.63,RU,2020-03-03 19:51:14
421,sapao,,,,,,,,
422,roald,62.58,6.13,36.28399999999999,56,100,4.1,NO,2020-03-03 19:51:15
423,shelburne,44.08,-80.2,33.70999999999998,86,20,1,CA,2020-03-03 19:51:16
424,maputo,-25.97,32.59,71.15,88,20,2.6,MZ,2020-03-03 19:51:16
425,binzhou,37.37,118.02,45.266000000000005,31,1,0.89,CN,2020-03-03 19:51:17
426,wajid,3.81,43.25,70.51999999999995,69,74,7.69,SO,2020-03-03 19:51:17
427,port macquarie,-31.43,152.92,79.68200000000002,69,90,7.2,AU,2020-03-03 19:51:18
428,batagay-alyta,67.8,130.41,-0.4719999999999871,83,92,2.86,RU,2020-03-03 19:51:18
429,bonavista,48.65,-53.11,33.961999999999954,98,100,5.42,CA,2020-03-03 19:51:19
430,kaitangata,-46.28,169.85,52.91600000000001,63,5,8.98,NZ,2020-03-03 19:49:25
431,fortuna,40.6,-124.16,48.88399999999999,93,90,4.1,US,2020-03-03 19:51:20
432,quesnel,53,-122.5,41.26999999999996,48,75,5.7,CA,2020-03-03 19:51:20
433,aska,19.61,84.67,82.34600000000006,36,0,0.52,IN,2020-03-03 19:51:21
434,bilibino,68.05,166.44,2.4439999999999706,70,0,0.34,RU,2020-03-03 19:51:21
435,felanitx,39.47,3.15,51.943999999999974,87,10,0.5,ES,2020-03-03 19:51:22
436,egvekinot,66.32,-179.17,7.7900000000000205,64,15,1.67,RU,2020-03-03 19:51:22
437,udachnyy,66.42,112.4,8.869999999999958,78,90,3,RU,2020-03-03 19:51:23
438,chapais,49.78,-74.85,25.069999999999958,73,90,3.1,CA,2020-03-03 19:51:23
439,antofagasta,-23.65,-70.4,66.46999999999997,77,40,4.6,CL,2020-03-03 19:51:24
440,nahrin,36.06,69.13,47.53399999999999,72,100,2.82,AF,2020-03-03 19:51:24
441,ambodifototra,,,,,,,,
442,lingao,19.91,109.69,74.55199999999998,79,100,4.9,CN,2020-03-03 19:51:25
443,guatire,10.48,-66.54,72.98599999999996,83,40,0.66,VE,2020-03-03 19:51:26
444,da nang,16.07,108.22,83.40800000000002,74,40,4.6,VN,2020-03-03 19:47:00
445,constantine,36.37,6.61,48.469999999999956,81,75,11.3,DZ,2020-03-03 19:51:27
446,unity,52.45,-109.17,24.277999999999963,85,0,1.34,CA,2020-03-03 19:51:27
447,himora,,,,,,,,
448,beringovskiy,63.05,179.32,8.491999999999994,64,0,3.93,RU,2020-03-03 19:51:28
449,sakakah,29.97,40.21,48.469999999999956,49,0,1.5,SA,2020-03-03 19:51:29
450,vikulovo,56.82,70.61,31.85600000000003,92,99,6.12,RU,2020-03-03 19:51:29
451,calabozo,8.92,-67.43,78.27799999999996,31,0,3.9,VE,2020-03-03 19:51:30
452,anadyr,64.75,177.48,8.599999999999998,71,0,10,RU,2020-03-03 19:51:31
453,kovdor,67.57,30.48,5.71999999999996,91,0,0.61,RU,2020-03-03 19:51:31
454,atar,20.52,-13.05,70.39399999999998,8,0,3.33,MR,2020-03-03 19:51:32
455,vytegra,61.01,36.45,27.374000000000013,78,99,4.27,RU,2020-03-03 19:51:32
456,kenora,49.82,-94.43,18.338000000000044,73,75,3.6,CA,2020-03-03 19:51:33
457,qax,41.42,46.92,39.469999999999956,86,40,2.1,AZ,2020-03-03 19:47:50
458,douentza,15,-2.95,68.39600000000004,10,0,2.12,ML,2020-03-03 19:51:34
459,mendi,-6.18,143.65,65.24600000000005,85,98,1.56,PG,2020-03-03 19:51:34
460,karpogory,64,44.45,6.638000000000044,96,0,1.49,RU,2020-03-03 19:51:35
461,lichuan,30.3,108.85,48.811999999999955,73,74,0.49,CN,2020-03-03 19:51:35
462,tura,25.52,90.22,79.484,35,18,2.9,IN,2020-03-03 19:51:36
463,jinxiang,22.86,115.7,70.26799999999999,84,100,2.26,CN,2020-03-03 19:51:36
464,pochutla,15.74,-96.47,79.826,78,5,6.64,MX,2020-03-03 19:51:37
465,belmonte,-15.86,-38.88,80.86999999999996,74,40,1,BR,2020-03-03 19:51:38
466,tual,-5.67,132.75,85.02799999999996,72,100,3.1,ID,2020-03-03 19:51:38
467,westport,41.14,-73.36,48.83000000000004,93,90,2.6,US,2020-03-03 19:46:43
468,erzin,36.96,36.2,48.95600000000003,100,0,1,TR,2020-03-03 19:51:39
469,xining,36.62,101.77,33.29600000000005,31,0,2.3,CN,2020-03-03 19:51:40
470,yeletskiy,,,,,,,,
471,wagar,16.15,36.2,64.04000000000002,72,0,3.31,SD,2020-03-03 19:51:41
472,kolokani,13.57,-8.03,73.56199999999995,7,0,5.04,ML,2020-03-03 19:51:41
473,takoradi,4.88,-1.76,78.25999999999999,93,100,1.43,GH,2020-03-03 19:51:42
474,pinawa,50.15,-95.88,17.185999999999964,95,98,2.9,CA,2020-03-03 19:51:42
475,chontalpa,17.7,-93.52,79.34000000000003,50,0,4.39,MX,2020-03-03 19:51:43
476,khasan,42.43,130.64,30.05600000000003,97,100,8.32,RU,2020-03-03 19:51:43
477,russell,32.35,-85.2,60.403999999999954,100,75,1.39,US,2020-03-03 19:51:43
478,fukue,32.69,128.84,50.26999999999996,87,75,6.2,JP,2020-03-03 19:51:44
479,kokkola,63.84,23.13,25.448000000000025,73,90,4.6,FI,2020-03-03 19:51:44
480,bealanana,-14.55,48.73,65.55199999999998,96,92,1.1,MG,2020-03-03 19:51:45
481,broome,42.25,-75.83,39.001999999999974,86,75,5.1,US,2020-03-03 19:51:45
482,muzambinho,-21.38,-46.53,61.46600000000001,97,32,0.6,BR,2020-03-03 19:51:46
483,fernie,49.5,-115.07,39.469999999999956,97,75,5.7,CA,2020-03-03 19:49:08
484,arlit,18.74,7.39,71.33000000000004,9,0,3.38,NE,2020-03-03 19:51:47
485,pearland,29.56,-95.29,69.90800000000002,100,90,1.5,US,2020-03-03 19:51:47
486,grand gaube,-20.01,57.66,80.05999999999997,94,20,2.56,MU,2020-03-03 19:51:48
487,akdepe,42.06,59.38,29.461999999999954,74,0,3.1,TM,2020-03-03 19:51:48
488,siteki,-26.45,31.95,62.86999999999996,100,0,0.61,SZ,2020-03-03 19:51:49
489,jalu,29.03,21.55,61.05199999999998,68,33,8.13,LY,2020-03-03 19:51:49
490,khatanga,71.97,102.5,6.349999999999998,95,100,3.01,RU,2020-03-03 19:51:50
491,baksheyevo,55.71,39.88,34.411999999999956,97,100,0.3,RU,2020-03-03 19:51:50
492,verkhnevilyuysk,63.45,120.32,7.7720000000000375,89,100,3.47,RU,2020-03-03 19:51:51
493,tuatapere,-46.13,167.68,58.26199999999996,53,29,5.36,NZ,2020-03-03 19:51:51
494,richards bay,-28.78,32.04,74.858,75,0,6.85,ZA,2020-03-03 19:51:52
495,labutta,,,,,,,,
496,ouahigouya,13.58,-2.42,76.53200000000001,12,0,5.03,BF,2020-03-03 19:51:53
497,ayer itam,,,,,,,,
498,cururupu,-1.83,-44.87,74.31799999999998,98,100,0.67,BR,2020-03-03 19:51:53
499,kakching,24.48,93.98,57.469999999999956,67,40,0.46,IN,2020-03-03 19:51:54
500,dombarovskiy,50.76,59.54,13.891999999999996,64,97,2.61,RU,2020-03-03 19:51:54
501,mao,39.89,4.27,52.069999999999965,66,0,7.7,ES,2020-03-03 19:51:55
502,nemuro,43.32,145.57,32.26999999999996,78,75,5.1,JP,2020-03-03 19:51:55
503,kidal,18.44,1.41,71.07799999999997,8,0,4.53,ML,2020-03-03 19:51:56
504,grenada,37.19,-3.61,54.12200000000004,87,90,4.97,ES,2020-03-03 19:51:56
505,muisne,0.6,-80.03,75.84800000000003,91,100,2.47,EC,2020-03-03 19:51:57
506,esna,25.29,32.55,55.58000000000004,20,0,1.79,EG,2020-03-03 19:51:57
507,pontes e lacerda,-15.23,-59.34,71.38399999999999,78,2,0.9,BR,2020-03-03 19:51:58
508,cacule,-14.5,-42.22,70.71799999999999,86,96,0.71,BR,2020-03-03 19:51:58
509,teofilo otoni,-17.86,-41.51,69.33200000000002,96,100,0.52,BR,2020-03-03 19:48:57
510,orsha,54.52,30.41,38.3,89,82,4.87,BY,2020-03-03 19:51:59
511,kiunga,-6.12,141.29,93.48800000000006,53,83,1.14,PG,2020-03-03 19:52:00
512,kieta,-6.22,155.63,84.97400000000002,72,100,1.62,PG,2020-03-03 19:52:00
513,zagar,46.35,24.62,44.34800000000003,87,100,3.6,RO,2020-03-03 19:52:01
514,okhotsk,59.38,143.3,11.677999999999962,82,95,0.65,RU,2020-03-03 19:52:02
515,kruisfontein,-34,24.73,69.81799999999998,63,0,2.43,ZA,2020-03-03 19:52:03
516,naze,28.37,129.48,67.316,82,75,4.1,JP,2020-03-03 19:52:03
517,opuwo,-18.06,13.84,64.54399999999998,50,0,1.18,NA,2020-03-03 19:52:04
518,fare,-16.7,-151.02,83.26400000000004,75,67,4.05,PF,2020-03-03 19:52:04
519,coruripe,-10.13,-36.18,82.13000000000005,77,75,4.62,BR,2020-03-03 19:52:05
520,vao,-22.67,167.48,80.63599999999997,79,100,5.32,NC,2020-03-03 19:52:05
521,killybegs,54.63,-8.45,40.94600000000005,75,100,3.92,IE,2020-03-03 19:52:06
522,alyangula,-13.85,136.42,91.66999999999996,63,92,6.2,AU,2020-03-03 19:52:06
523,aljezur,37.32,-8.8,59.792,97,0,0.89,PT,2020-03-03 19:52:06
524,talavera,15.62,120.93,84.46999999999997,62,75,7.2,PH,2020-03-03 19:52:07
525,surin,14.88,103.49,89.02400000000002,52,82,2.6,TH,2020-03-03 19:50:36
526,longyan,25.11,117.02,60.16999999999996,91,100,0.58,CN,2020-03-03 19:52:08
527,tabas,33.6,56.92,46.66999999999996,62,11,3.1,IR,2020-03-03 19:52:08
528,sataua,,,,,,,,
529,kembe,4.62,21.89,72.96799999999999,65,1,1,CF,2020-03-03 19:52:09
530,monchegorsk,67.94,32.87,4.7300000000000395,92,0,0.1,RU,2020-03-03 19:52:10
531,sault sainte marie,46.52,-84.33,32.35999999999998,86,90,3.1,CA,2020-03-03 19:52:09
532,inegol,40.08,29.51,44.86999999999996,87,93,1.5,TR,2020-03-03 19:51:20
533,meulaboh,4.14,96.13,82.47200000000004,80,41,3.07,ID,2020-03-03 19:52:11
534,merritt,50.11,-120.79,43.06999999999996,81,90,10.3,CA,2020-03-03 19:52:11
535,marfino,55.7,37.38,35.94199999999999,100,90,2,RU,2020-03-03 19:52:12
536,zhigansk,66.77,123.37,-1.1559999999999775,91,100,11.25,RU,2020-03-03 19:52:12
537,mogadishu,2.04,45.34,80.86999999999996,69,40,5.1,SO,2020-03-03 19:52:13
538,srednekolymsk,67.45,153.68,9.733999999999991,71,0,1.49,RU,2020-03-03 19:52:13
539,agadir,30.42,-9.6,55.66999999999996,93,0,1.5,MA,2020-03-03 19:50:54
540,abha,18.22,42.51,57.469999999999956,71,0,6.2,SA,2020-03-03 19:52:14
541,linjiang,41.81,126.91,22.801999999999975,88,100,4.62,CN,2020-03-03 19:52:15
542,ippy,6.27,21.22,70.66400000000004,28,0,1.38,CF,2020-03-03 19:52:15
543,balkanabat,39.51,54.37,42.70999999999998,91,13,1.1,TM,2020-03-03 19:52:16
544,tanjong sepat,,,,,,,,
545,guilin,25.28,110.29,50.26999999999996,93,90,1,CN,2020-03-03 19:52:16
546,muzhi,65.37,64.67,12.46999999999996,76,0,9.61,RU,2020-03-03 19:49:24
547,fairbanks,64.84,-147.72,-9.670000000000009,76,75,1.28,US,2020-03-03 19:52:17
548,kaeo,-35.1,173.78,74.73200000000003,92,100,1.34,NZ,2020-03-03 19:52:18
549,lydenburg,-25.1,30.46,63.266000000000005,96,0,1.72,ZA,2020-03-03 19:52:18
550,san andres,12.58,-81.7,80.86999999999996,74,75,4.6,CO,2020-03-03 19:51:14
551,ararangua,-28.93,-49.49,64.92200000000004,94,100,1.65,BR,2020-03-03 19:52:19
552,maloshuyka,,,,,,,,
553,mayo,38.89,-76.51,54.12200000000004,87,75,4.6,US,2020-03-03 19:52:20
554,clyde,41.3,-82.98,40.19000000000002,80,20,4.6,US,2020-03-03 19:52:21
555,bathsheba,13.22,-59.52,79.06999999999996,74,75,9.3,BB,2020-03-03 19:52:21
556,odweyne,9.41,45.06,64.90399999999995,48,67,4.53,SO,2020-03-03 19:52:22
557,uvira,-3.41,29.15,52.50199999999998,85,100,0.32,CD,2020-03-03 19:52:22
558,comodoro rivadavia,-45.87,-67.5,59.26999999999996,87,100,5.65,AR,2020-03-03 19:51:24
559,karauzyak,,,,,,,,
560,yurimaguas,-5.9,-76.08,79.19600000000005,75,38,0.57,PE,2020-03-03 19:52:24
561,chahuites,16.28,-94.18,66.29000000000002,93,0,2.27,MX,2020-03-03 19:52:24
562,teya,60.38,92.63,14.503999999999952,92,100,2.78,RU,2020-03-03 19:52:24
563,tosagua,-0.78,-80.25,79.06999999999996,83,40,1,EC,2020-03-03 19:52:25
564,palmer,42.16,-72.33,47.461999999999954,93,90,4.6,US,2020-03-03 19:52:25
565,vamvakou,39.33,22.42,56.48000000000005,71,40,2.6,GR,2020-03-03 19:52:26
566,angoche,-16.23,39.91,71.41999999999996,96,17,2.95,MZ,2020-03-03 19:52:27
567,tabuk,17.42,121.44,81.76999999999995,62,2,3.01,PH,2020-03-03 19:52:27
568,mackenzie,55.3,-123.17,30.46999999999996,86,90,5.7,CA,2020-03-03 19:52:27
569,leh,34.17,77.58,1.3639999999999795,58,0,1.38,IN,2020-03-03 19:52:28
570,allangigan,,,,,,,,
571,santiago de chuco,-8.15,-78.18,48.72200000000004,93,94,1.25,PE,2020-03-03 19:52:29
572,neyshabur,36.21,58.8,37.508,88,100,2.93,IR,2020-03-03 19:52:29
573,pauini,-7.71,-66.98,72.842,97,62,0.76,BR,2020-03-03 19:52:30
574,louisbourg,,,,,,,,
575,gamboula,4.12,15.14,68.234,90,42,1.3,CF,2020-03-03 19:52:31
576,bayir,37.27,28.22,59.26999999999996,58,75,3.6,TR,2020-03-03 19:52:31
577,ginda,30.69,78.49,51.601999999999975,60,0,0.98,IN,2020-03-03 19:52:32
578,lerum,57.77,12.27,37.32799999999996,93,100,1.5,SE,2020-03-03 19:52:32
579,morondava,-20.28,44.28,73.79600000000005,86,0,1.11,MG,2020-03-03 19:52:33
580,kitob,39.08,66.83,50.48599999999997,52,88,0.97,UZ,2020-03-03 19:52:33
581,lithgow,-33.48,150.15,69.63800000000005,88,90,4.2,AU,2020-03-03 19:52:34
582,maniitsoq,65.42,-52.9,4.8560000000000265,59,0,1.43,GL,2020-03-03 19:52:34
583,boa vista,2.82,-60.67,82.66999999999996,58,88,4.1,BR,2020-03-03 19:50:57
584,amapa,1,-52,71.49199999999999,97,97,1.45,BR,2020-03-03 19:52:35
585,abu jubayhah,,,,,,,,
586,lethem,3.38,-59.8,81.31999999999996,52,0,5.5,GY,2020-03-03 19:52:36
587,stokmarknes,68.56,14.91,24.817999999999984,59,26,1.79,NO,2020-03-03 19:52:36
588,mudgal,16.02,76.43,77.54000000000002,36,97,3.58,IN,2020-03-03 19:52:37
589,navapur,,,,,,,,
590,mabaruma,8.2,-59.78,68.71999999999997,97,0,0.9,GY,2020-03-03 19:52:37
591,winnemucca,40.97,-117.74,41.432000000000016,60,1,2.1,US,2020-03-03 19:52:38
592,molina,-35.12,-71.28,68.26999999999995,60,0,1.5,CL,2020-03-03 19:52:38
593,kwinana,-32.25,115.77,88.592,19,100,2.6,AU,2020-03-03 19:52:39
594,muli,2.92,73.57,82.74199999999999,70,88,4.41,MV,2020-03-03 19:52:40
595,caravelas,-17.71,-39.25,81.91400000000004,81,100,4.77,BR,2020-03-03 19:52:40
596,elverum,60.88,11.56,28.166000000000007,90,100,2.64,NO,2020-03-03 19:52:41
597,cabedelo,-6.98,-34.83,80.86999999999996,88,75,1.5,BR,2020-03-03 19:52:41
598,marawi,8,124.29,83.26400000000004,77,73,3.58,PH,2020-03-03 19:52:42
599,ayan,56.45,138.17,10.003999999999952,90,100,1.77,RU,2020-03-03 19:52:42
600,chagda,,,,,,,,
601,makakilo city,21.35,-158.09,77.59399999999997,69,40,3.6,US,2020-03-03 19:51:29
602,tulun,54.56,100.58,24.74600000000005,93,96,1.36,RU,2020-03-03 19:52:44
603,florianopolis,-27.61,-48.5,67.94600000000005,100,91,1,BR,2020-03-03 19:52:44
604,ponorogo,-7.87,111.46,85.424,61,48,2.04,ID,2020-03-03 19:48:35
605,oktyabrskiy,54.48,53.47,19.49000000000002,87,100,2.53,RU,2020-03-03 19:52:45
606,barguzin,53.62,109.62,15.727999999999962,79,77,1.38,RU,2020-03-03 19:52:46
607,umm lajj,25.02,37.27,70.39399999999998,14,0,2.83,SA,2020-03-03 19:52:47
608,king city,36.21,-121.13,58.208000000000006,71,1,2.1,US,2020-03-03 19:48:10
609,sukhinichi,54.1,35.34,34.898000000000025,93,32,1.27,RU,2020-03-03 19:52:47
610,arman,59.7,150.17,16.285999999999966,92,100,2.61,RU,2020-03-03 19:52:48
611,port-gentil,-0.72,8.78,84.01999999999995,80,100,4.51,GA,2020-03-03 19:52:48
612,bargal,,,,,,,,
613,tidore,,,,,,,,
614,dasoguz,41.84,59.97,30.46999999999996,80,0,5.1,TM,2020-03-03 19:52:50
615,mikhaylovka,50.06,43.24,26.27599999999999,93,71,1.91,RU,2020-03-03 19:52:50
616,talara,-4.58,-81.27,77.50399999999996,87,9,6.74,PE,2020-03-03 19:52:51
617,hay river,60.82,-115.8,-3.7299999999999898,83,75,2.48,CA,2020-03-03 19:52:51
618,mareeba,-17,145.43,90.06799999999998,62,51,4.1,AU,2020-03-03 19:52:52
619,pacific grove,36.62,-121.92,56.569999999999965,58,0,2.74,US,2020-03-03 19:52:52
620,fengzhen,40.44,113.15,19.148000000000025,35,0,1.17,CN,2020-03-03 19:52:53
621,monrovia,6.3,-10.8,80.88800000000005,89,69,0.84,LR,2020-03-03 19:52:53
622,cherskiy,68.75,161.3,6.998000000000022,77,0,6.46,RU,2020-03-03 19:52:53
623,pavagada,14.1,77.27,78.38599999999997,46,70,4.47,IN,2020-03-03 19:52:54
624,seoul,37.57,126.98,40.60399999999995,48,75,4.6,KR,2020-03-03 19:48:45
625,houma,29.6,-90.72,71.816,94,90,3.1,US,2020-03-03 19:52:55
626,khani,41.96,42.96,43.06999999999996,51,0,3.1,GE,2020-03-03 19:52:55
627,bandarbeyla,9.49,50.81,77.84600000000006,64,100,3.75,SO,2020-03-03 19:52:56
628,dennery,13.9,-60.89,80.86999999999996,74,75,8.7,LC,2020-03-03 19:52:56
629,sechura,-5.56,-80.82,76.06400000000004,87,0,5.05,PE,2020-03-03 19:52:57
630,lexington,37.99,-84.48,44.653999999999954,56,1,2.6,US,2020-03-03 19:52:57
631,perni,41,24.64,56.82200000000004,93,75,2.72,GR,2020-03-03 19:52:58
